Orthogroup	Amel_filteredTranscripts	Apisu_filteredTranscripts	Brsri_filteredTranscripts	Csecu_filteredTranscripts	Dmela_filteredTranscripts	Samer_filteredTranscripts	Scanc_filteredTranscripts	Sgreg_filteredTranscripts	Sinvi_filteredTranscripts	Snite_filteredTranscripts	Spice_filteredTranscripts	Sscub_filteredTranscripts	Total
OG0000000	2	12	10	21	9	27	28	27	2	25	31	23	217
OG0000001	0	0	0	0	0	0	0	0	0	126	0	0	126
OG0000002	0	0	0	0	0	46	0	0	0	0	29	50	125
OG0000003	5	8	10	17	5	10	14	11	4	12	10	11	117
OG0000004	7	5	9	9	5	11	11	12	5	14	12	12	112
OG0000005	2	0	11	3	3	13	12	13	1	12	11	14	95
OG0000006	0	21	8	0	1	4	2	12	13	6	14	10	91
OG0000007	0	0	0	2	0	30	0	1	8	19	28	0	88
OG0000008	1	0	4	5	4	12	10	12	1	12	11	12	84
OG0000009	0	82	0	0	0	0	0	0	0	0	0	0	82
OG0000010	0	23	7	9	1	8	6	2	4	7	8	6	81
OG0000011	0	0	1	26	0	10	4	6	20	1	7	6	81
OG0000012	1	0	0	0	0	0	0	77	0	1	0	1	80
OG0000013	2	7	7	8	10	6	6	7	2	6	6	6	73
OG0000014	3	1	8	5	3	8	9	8	3	7	8	8	71
OG0000015	0	0	7	7	2	10	9	9	0	5	11	8	68
OG0000016	0	1	0	0	0	10	24	0	0	1	30	1	67
OG0000017	1	7	11	10	5	5	5	5	1	5	6	5	66
OG0000018	0	0	0	1	0	12	17	0	0	18	0	18	66
OG0000019	0	0	0	0	0	0	64	1	0	0	0	0	65
OG0000020	0	0	0	0	0	26	7	6	0	3	19	3	64
OG0000021	5	8	12	5	20	1	1	4	4	1	1	1	63
OG0000022	1	0	0	1	0	11	11	9	1	8	8	13	63
OG0000023	0	0	0	61	0	0	0	0	0	0	0	0	61
OG0000024	1	7	38	2	3	2	2	1	0	1	1	1	59
OG0000025	0	59	0	0	0	0	0	0	0	0	0	0	59
OG0000026	2	3	3	4	2	7	5	7	2	8	8	7	58
OG0000027	0	57	0	0	0	0	0	0	0	0	0	0	57
OG0000028	0	0	8	1	0	7	7	7	0	7	12	8	57
OG0000029	4	4	4	4	3	6	5	5	4	6	5	6	56
OG0000030	1	0	1	1	3	8	8	9	2	8	7	8	56
OG0000031	0	1	1	1	2	10	8	9	0	6	9	9	56
OG0000032	0	0	1	0	0	9	10	10	1	10	9	6	56
OG0000033	5	8	1	5	25	1	1	1	4	1	1	1	54
OG0000034	2	0	1	2	2	7	7	9	1	7	8	8	54
OG0000035	0	5	1	0	0	15	9	0	0	9	9	6	54
OG0000036	5	8	0	4	23	1	1	5	3	1	1	1	53
OG0000037	5	4	4	3	7	4	4	5	5	4	4	4	53
OG0000038	1	1	3	2	3	7	7	8	1	5	7	8	53
OG0000039	0	0	0	0	0	20	0	0	0	3	0	30	53
OG0000040	2	0	4	0	1	6	8	10	0	8	6	7	52
OG0000041	2	13	7	0	11	3	3	4	1	2	2	4	52
OG0000042	0	0	0	0	0	0	0	0	1	0	51	0	52
OG0000043	1	2	1	1	3	7	6	7	1	7	7	7	50
OG0000044	0	0	6	4	2	6	7	8	1	6	5	5	50
OG0000045	2	5	11	7	0	4	3	2	2	4	5	4	49
OG0000046	0	0	0	0	0	5	4	20	0	10	5	5	49
OG0000047	0	0	0	0	0	48	0	0	0	0	0	0	48
OG0000048	1	2	1	1	2	8	5	6	1	6	6	8	47
OG0000049	2	5	2	1	1	4	5	4	5	6	6	6	47
OG0000050	1	4	8	3	2	4	4	7	1	4	5	4	47
OG0000051	0	0	0	0	0	0	0	0	0	0	0	47	47
OG0000052	0	0	0	0	0	7	6	9	0	8	6	10	46
OG0000053	1	1	1	1	1	7	5	7	1	7	7	6	45
OG0000054	0	1	1	1	1	11	1	1	0	1	11	16	45
OG0000055	0	0	0	0	0	5	14	3	0	10	9	4	45
OG0000056	0	0	44	0	0	0	0	0	0	0	0	0	44
OG0000057	0	0	0	0	0	7	9	7	0	5	9	7	44
OG0000058	1	2	1	1	3	6	4	6	1	6	6	6	43
OG0000059	1	2	3	8	2	4	5	4	2	4	4	4	43
OG0000060	0	42	0	0	0	0	0	0	0	0	0	0	42
OG0000061	0	17	4	0	1	1	1	1	14	1	1	1	42
OG0000062	0	5	6	7	5	2	3	3	0	3	3	4	41
OG0000063	0	4	0	0	0	3	5	7	1	12	9	0	41
OG0000064	0	0	41	0	0	0	0	0	0	0	0	0	41
OG0000065	0	0	0	0	0	20	0	0	1	0	4	16	41
OG0000066	2	2	4	2	3	4	5	4	2	4	4	4	40
OG0000067	3	2	3	2	2	4	5	4	3	5	3	4	40
OG0000068	4	5	1	3	23	0	0	2	2	0	0	0	40
OG0000069	2	2	2	2	10	3	3	4	2	3	4	3	40
OG0000070	4	4	4	4	4	3	2	3	4	3	1	3	39
OG0000071	0	2	3	2	4	8	3	3	1	6	3	4	39
OG0000072	0	0	0	3	23	12	0	0	0	0	0	0	38
OG0000073	0	0	0	0	2	11	7	3	0	5	8	2	38
OG0000074	0	0	0	0	0	0	0	0	0	38	0	0	38
OG0000075	1	1	2	1	2	5	4	5	1	5	5	5	37
OG0000076	0	37	0	0	0	0	0	0	0	0	0	0	37
OG0000077	0	37	0	0	0	0	0	0	0	0	0	0	37
OG0000078	0	0	2	0	1	6	5	4	0	4	7	8	37
OG0000079	2	0	3	4	1	4	4	4	1	5	4	4	36
OG0000080	0	0	0	0	0	7	7	6	0	1	7	8	36
OG0000081	0	0	0	0	0	5	5	9	0	5	6	6	36
OG0000082	0	0	0	0	0	32	1	1	0	0	2	0	36
OG0000083	0	35	0	0	0	0	0	0	0	0	0	0	35
OG0000084	0	3	0	0	1	6	1	2	3	1	5	13	35
OG0000085	0	0	35	0	0	0	0	0	0	0	0	0	35
OG0000086	0	0	35	0	0	0	0	0	0	0	0	0	35
OG0000087	0	0	5	0	3	5	4	6	0	5	5	2	35
OG0000088	0	0	0	3	0	8	9	9	0	0	4	2	35
OG0000089	0	0	0	1	0	26	0	0	0	0	2	6	35
OG0000090	2	0	2	2	3	4	4	3	3	4	3	4	34
OG0000091	2	5	3	2	2	3	3	2	3	3	3	3	34
OG0000092	1	1	3	1	3	3	3	3	7	3	3	3	34
OG0000093	1	1	2	1	2	3	5	5	1	5	4	4	34
OG0000094	0	2	30	0	0	0	0	1	1	0	0	0	34
OG0000095	0	5	3	1	0	0	15	0	0	10	0	0	34
OG0000096	0	0	7	2	0	4	6	6	0	0	5	4	34
OG0000097	0	0	1	2	0	9	1	1	0	1	14	5	34
OG0000098	0	0	0	0	0	0	0	1	32	0	0	1	34
OG0000099	0	0	0	0	0	0	0	0	0	0	34	0	34
OG0000100	0	0	0	0	0	0	0	0	0	0	0	34	34
OG0000101	3	2	2	2	1	4	4	3	3	3	3	3	33
OG0000102	1	4	3	1	4	7	2	1	1	2	5	2	33
OG0000103	2	3	2	3	3	3	3	3	2	3	3	3	33
OG0000104	0	0	2	1	0	6	3	3	0	5	3	10	33
OG0000105	0	0	0	0	33	0	0	0	0	0	0	0	33
OG0000106	0	0	0	0	33	0	0	0	0	0	0	0	33
OG0000107	0	0	0	0	1	7	3	6	0	3	8	5	33
OG0000108	0	0	0	0	0	26	1	1	0	1	0	4	33
OG0000109	1	1	2	2	1	4	4	4	1	4	4	4	32
OG0000110	1	1	1	1	2	4	4	5	1	4	4	4	32
OG0000111	0	15	1	4	0	0	1	1	3	3	4	0	32
OG0000112	0	0	32	0	0	0	0	0	0	0	0	0	32
OG0000113	0	0	0	32	0	0	0	0	0	0	0	0	32
OG0000114	0	0	0	0	0	4	6	9	0	4	5	4	32
OG0000115	0	0	0	0	0	1	0	28	0	2	1	0	32
OG0000116	1	1	1	1	2	4	4	4	1	4	4	4	31
OG0000117	2	2	2	2	3	3	3	3	2	3	3	3	31
OG0000118	0	31	0	0	0	0	0	0	0	0	0	0	31
OG0000119	0	31	0	0	0	0	0	0	0	0	0	0	31
OG0000120	0	0	10	7	0	2	2	2	2	2	2	2	31
OG0000121	0	0	11	3	7	2	1	1	0	2	2	2	31
OG0000122	0	0	5	0	0	7	2	2	0	2	5	8	31
OG0000123	0	0	0	0	0	4	5	5	1	5	6	5	31
OG0000124	0	0	0	0	0	0	8	0	0	16	5	2	31
OG0000125	0	0	0	0	0	0	0	31	0	0	0	0	31
OG0000126	0	0	0	0	0	0	0	0	31	0	0	0	31
OG0000127	2	2	2	3	1	3	3	3	2	3	3	3	30
OG0000128	1	1	2	1	0	4	4	4	1	4	4	4	30
OG0000129	1	1	1	0	2	4	4	4	1	4	4	4	30
OG0000130	1	1	1	3	3	3	3	4	1	3	3	4	30
OG0000131	3	5	8	1	0	2	1	1	3	1	3	2	30
OG0000132	1	4	2	6	0	2	2	2	5	2	2	2	30
OG0000133	0	4	2	2	2	4	1	1	0	5	6	3	30
OG0000134	0	2	5	0	0	5	2	1	0	8	2	5	30
OG0000135	0	0	0	2	0	4	5	5	0	4	5	5	30
OG0000136	0	0	0	0	1	6	7	2	0	4	8	2	30
OG0000137	0	0	0	0	0	30	0	0	0	0	0	0	30
OG0000138	0	0	0	0	0	1	1	28	0	0	0	0	30
OG0000139	0	0	0	0	0	0	0	0	0	30	0	0	30
OG0000140	0	0	0	0	0	0	0	0	0	0	0	30	30
OG0000141	2	2	1	1	2	3	4	4	1	3	3	3	29
OG0000142	5	1	3	2	2	2	2	2	4	2	2	2	29
OG0000143	1	0	3	2	0	3	4	5	4	1	3	3	29
OG0000144	1	2	2	1	3	3	3	3	2	3	3	3	29
OG0000145	1	2	1	1	1	4	4	4	1	2	4	4	29
OG0000146	1	1	2	1	1	1	1	1	1	1	17	1	29
OG0000147	3	3	3	1	2	2	3	3	2	2	3	2	29
OG0000148	1	0	3	2	10	2	2	2	1	2	2	2	29
OG0000149	0	4	2	0	0	1	1	1	17	1	1	1	29
OG0000150	0	8	1	1	0	1	1	0	8	5	1	3	29
OG0000151	0	10	2	3	0	3	1	2	0	1	3	4	29
OG0000152	0	0	2	26	0	1	0	0	0	0	0	0	29
OG0000153	0	0	29	0	0	0	0	0	0	0	0	0	29
OG0000154	0	0	28	0	0	0	0	1	0	0	0	0	29
OG0000155	0	0	29	0	0	0	0	0	0	0	0	0	29
OG0000156	0	0	0	29	0	0	0	0	0	0	0	0	29
OG0000157	0	0	0	0	0	0	0	29	0	0	0	0	29
OG0000158	0	0	0	0	0	0	0	0	29	0	0	0	29
OG0000159	1	2	3	1	1	3	3	3	1	3	3	4	28
OG0000160	1	1	2	1	1	3	3	3	5	3	2	3	28
OG0000161	1	0	3	4	2	3	2	3	1	3	3	3	28
OG0000162	3	3	3	1	3	2	2	2	3	2	2	2	28
OG0000163	1	1	5	1	1	3	3	3	1	3	3	3	28
OG0000164	1	1	1	1	1	2	1	1	1	1	4	13	28
OG0000165	3	0	1	3	6	2	2	2	3	2	2	2	28
OG0000166	1	4	2	2	5	2	2	3	1	2	2	2	28
OG0000167	0	0	1	0	0	3	4	2	0	5	7	6	28
OG0000168	0	0	0	23	0	0	0	1	1	1	1	1	28
OG0000169	0	0	0	1	0	5	1	5	1	5	6	4	28
OG0000170	0	0	0	0	0	2	4	0	0	10	11	1	28
OG0000171	0	0	0	0	0	0	0	1	0	0	27	0	28
OG0000172	0	0	0	0	0	0	0	0	28	0	0	0	28
OG0000173	0	0	0	0	0	0	0	0	0	28	0	0	28
OG0000174	2	1	2	1	1	3	3	3	2	3	3	3	27
OG0000175	1	1	2	1	4	3	3	3	1	2	3	3	27
OG0000176	1	1	1	12	1	1	1	1	5	1	1	1	27
OG0000177	1	3	2	1	1	3	3	3	1	3	3	3	27
OG0000178	6	0	0	0	0	0	0	0	21	0	0	0	27
OG0000179	1	2	4	1	1	1	1	1	12	1	1	1	27
OG0000180	0	27	0	0	0	0	0	0	0	0	0	0	27
OG0000181	0	27	0	0	0	0	0	0	0	0	0	0	27
OG0000182	0	0	2	0	0	12	3	3	0	0	4	3	27
OG0000183	0	0	3	4	0	3	3	3	3	3	2	3	27
OG0000184	0	0	0	27	0	0	0	0	0	0	0	0	27
OG0000185	0	0	0	0	0	27	0	0	0	0	0	0	27
OG0000186	0	0	0	0	0	5	4	5	0	6	4	3	27
OG0000187	0	0	0	0	0	5	3	1	0	5	5	8	27
OG0000188	0	0	0	0	0	7	2	5	0	5	7	1	27
OG0000189	0	0	0	0	0	4	4	6	0	3	6	4	27
OG0000190	0	0	0	0	0	27	0	0	0	0	0	0	27
OG0000191	0	0	0	0	0	0	0	1	0	0	25	1	27
OG0000192	0	0	0	0	0	0	0	0	0	0	27	0	27
OG0000193	1	1	3	2	1	3	3	3	0	3	3	3	26
OG0000194	2	2	3	2	2	2	2	3	2	2	2	2	26
OG0000195	2	1	1	1	2	3	3	3	1	3	3	3	26
OG0000196	1	0	1	1	1	3	5	7	0	0	4	3	26
